Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BOTH,HistDist Only,Landmark Only,Neither,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,Shape_Leng,Shape_Area
MN,2082,60,109,237,1001,6,7,10031,L034,30,17,610,1,9,3A,3652 BROADWAY,R8,,,,C1-4,,,,,,N,M1,8,0,X,NEW YORK CONGREG ETAL,5050,9231,9231,0,0,0,0,0,0,9231,2,1,2,0,1,50.5,100,51,100,E,3,N,5,2,105750,745200,105750,745200,1926,1989,1992,,,0,0,0,1,1.83,6.02,0,6.5,1,1020820060,0,237,998796,241624,3b,,111N056,10710,,0,,1,,,18v2,306.3989173,5263.377629
MN,1665,45,111,188,3001,4,8,10029,L026,25,12,2100,1,11,2B,216 EAST 116 STREET,R7D,,,,C1-5,,EHC,,,,N,M1,8,0,X,PRIM IGLESIA BUATISTA,5279,5269,5269,0,5269,0,0,0,0,0,2,1,1,0,1,46,100.92,46,100,,3,Y,5,2,87300,203400,87300,203400,1925,0,0,,,0,0,0,1,1,4.2,0,4.2,1,1016650045,0,188,1001013,229793,6b,,108N067,10604,,0,,1,,,18v2,325.3058591,5424.268858
MN,1069,24,104,117,1014,2,3,10018,E034,10,15,4500,1,4,2A,503 WEST 40 STREET,C2-8,,,,,,HY,,,,N,M1,8,0,X,ST RAPAELS R C CHUR,24688,39472,39472,0,0,0,0,0,0,39472,2,3,2,0,3,125,197.5,56,194,,2,N,1,2,2712600,5592600,2712600,5592600,1920,2017,0,,,0,0,0,1,1.6,10,2,10,1,1010690024,0,117,985118,215778,8d,,105N039,10405,E-137,0,,1,,,18v2,660.3284025,25863.32206
MN,1069,136,104,117,1014,2,3,10036,E034,10,15,4500,1,4,2A,502 WEST 41 STREET,C2-8,,,,,,HY,,,,N,M3,8,0,X,ST RAPHAELS RC CHUR,2223,9370,9370,0,0,0,0,0,0,9370,2,1,5,0,1,30,74.08,26,72,,3,N,5,0,234900,694800,234900,694800,1902,1984,1985,,,0,0,0,1,4.22,10,2,10,1,1010690136,0,117,985218,215794,8d,,105N039,10405,E-137,1010690136,01/09/2013,1,,,18v2,219.8159142,2461.845454
MN,1230,23,107,171,2001,3,6,10024,E074,20,16,3400,1,7,3B,213 WEST 82 STREET,R8B,,,,,,,,,,N,M3,8,0,X,RC CHUR HOLY TRINITY,5000,7820,7820,0,0,0,0,0,0,7820,2,1,3,0,1,50,100,32,82,,2,N,5,2,576000,1098450,576000,1098450,1927,0,0,,,0,0,0,1,1.56,4,0,4,1,1012300023,0,171,990445,225514,5d,,107S014,10409,,0,,1,,,18v2,307.1784409,5180.028739
MN,1230,25,107,171,2001,3,6,10024,E074,20,16,3400,1,7,3B,209 WEST 82 STREET,R8B,,,,,,,,,,N,M1,8,0,X,RC CHUR HOLY TRINITY,10700,10122,10122,0,0,0,0,0,0,10122,2,1,2,0,0,100,120.83,100,120.83,,0,Y,5,2,1827000,2956050,1827000,2956050,1910,0,0,,,0,0,0,1,0.95,4,0,4,1,1012300025,0,171,990514,225480,5d,,107S014,10409,,0,,1,,,18v2,448.297125,11106.02658
MN,1033,49,104,121,1001,2,3,10036,E054,14,15,4500,1,4,3A,332 WEST 43 STREET,C6-4,C6-2,,,,,CL,,,,Y,M1,8,0,X,RC CHUR OF THE HOLY C,17656,13947,13947,0,0,0,0,0,0,13947,2,2,6,0,2,75,200.83,75,201,,2,Y,4,2,2668500,4346100,2668500,4346100,1920,0,0,,,0,0,0,1,0.79,10,10,10,1,1010330049,0,121,986713,215522,8d,,105N043,10403,,0,,1,,,18v2,618.4298481,18420.96405
MN,1345,10,106,98,6000,2,4,10022,E008,17,13,5000,1,6,3A,317 EAST 52 STREET,R8B,,,,,,,,,,N,M9,8,0,X,NORWEGIAN SEAMAN'S ET,4016,20832,18824,2008,16816,0,0,0,0,2008,2,2,6,4,5,40,100.42,40,52,,3,N,5,2,1413000,4491450,1413000,4491450,1900,1991,0,,,0,0,0,1,5.19,4,0,4,1,1013450010,0,98,993519,214684,8d,,1.06E+54,10506,,1013450010,12/23/1991,1,,,18v2,284.0997237,4038.071985
MN,406,29,103,34,1001,1,2,10009,L011,9,14,6200,1,3,4A,548 EAST 13 STREET,R7A,,,,C1-5,,,,,,N,M1,8,0,X,CHURCH OF BIBLE CRSDR,1274,1162,1162,0,0,0,0,0,0,1162,2,1,1,0,1,25.25,75.33,25,44,,3,N,5,2,55800,168300,55800,168300,1940,1987,0,,,0,0,0,1,0.91,4,0,4,1,1004060029,0,34,990069,204775,12c,,102 029,10203,E-216,0,,1,,,18v2,213.2516455,2160.528812
MN,1948,4,110,257,2002,3,9,10027,L040,28,11,8520,1,10,1A,81 MORNINGSIDE AVENUE,R8A,,,,,,,,,,N,M3,8,0,X,CHUR OF THE MASTERS I,6000,11748,11748,0,0,0,0,0,0,11748,2,1,1,0,1,60,100,60,88,,3,N,5,2,141300,1048950,141300,1048950,1969,1989,0,,,0,0,0,1,1.96,6,0,6,1,1019480004,0,257,996610,234013,6a,,107N083,10706,,0,,1,,,18v2,316.7874808,5730.306745
MN,1771,41,111,196,3006,4,8,10035,L014,25,11,1600,1,11,3B,182 EAST 123 STREET,R7-2,,,,,,,,,,N,M1,8,0,,SECOND EMMANUEL BAPTI,2826,1680,1680,0,0,0,0,0,0,1680,2,4,3,3,4,28,100.92,28,101,E,1,N,5,2,50850,105750,0,0,1930,1989,0,,,0,0,0,1,0.59,3.44,0,6.5,1,1017710041,0,196,1001573,231628,6b,,108N081,10609,,0,,1,,,18v2,262.7580917,2862.903894
MN,1723,64,110,200,2000,5,9,10027,L014,28,11,1500,1,10,1B,70 WEST 126 STREET,R6A,,,,,,125th,,,,N,M1,8,0,X,EV LUTHERAN CHURCH OF,1249,2097,2097,0,0,0,0,0,0,2097,2,1,3,0,1,12.5,99.92,13,54,,3,N,5,1,13950,39150,13950,39150,1940,0,0,,,0,0,0,1,1.68,3,0,3,1,1017230064,0,200,999682,233615,6a,,107N090,10607,,0,,1,,,18v2,229.5637819,1380.492854
MN,2012,38,110,232,2000,5,9,10030,E059,32,11,800,1,10,4B,102 WEST 144 STREET,R7-2,,,,,,,,,,N,M1,8,0,,NEW MT CALVARY BAPT C,2498,6375,2375,1625,0,0,0,0,0,2375,2,1,2,0,1,25,99.92,25,95,,3,N,5,2,24750,121050,24750,113850,1930,0,0,,,0,0,0,1,2.55,3.44,0,6.5,1,1020120038,0,232,1001561,237967,6a,,111S042,10708,,0,,1,,,18v2,258.1768068,2579.981311
MN,1723,65,110,200,2000,5,9,10027,L014,28,11,1500,1,10,1B,74 WEST 126 STREET,R6A,,,,,,125th,,,,N,M1,8,0,X,EVANGELICAL LUTHERN C,2498,7302,7302,0,0,0,0,0,0,7302,2,1,4,0,1,25,99.92,25,100,E,2,N,5,2,31950,117900,31950,117900,1910,1988,0,,,0,0,0,1,2.92,3,0,3,1,1017230065,0,200,999655,233630,6a,,107N090,10607,,0,,1,,,18v2,252.364986,2533.149347
MN,1771,44,111,196,3006,4,8,10035,L014,25,11,1600,1,11,3B,170 EAST 123 STREET,R7-2,,,,,,,,,,N,M9,8,0,,"EMPIRE DEVELOPMENT X,",5973,24626,24626,0,0,0,0,24626,0,0,2,1,4,0,0,68,89.33,68.92,89.33,,0,Y,5,0,84600,202500,0,0,1900,0,0,,,0,0,0,1,4.12,3.44,0,6.5,1,1017710044,0,196,1001487,231669,6b,,108N081,10609,,0,,1,,,18v2,391.3703731,6379.685142
MN,1723,67,110,200,2000,5,9,10027,L014,28,11,1500,1,10,1B,80 WEST 126 STREET,C4-4A,R6A,,,,,125th,,,,Y,M1,8,0,,THE HOUSE OF PRAYER O,4996,6879,6879,0,0,0,0,0,0,6879,2,1,3,0,1,50,99.92,50,100,,3,N,5,2,55800,118800,55800,111552,1910,0,0,,,0,0,0,1,1.38,4,4,4,1,1017230067,0,200,999600,233660,6a,,107N090,10607,,0,,1,,,18v2,302.555443,5070.736878
MN,271,55,103,6,4001,2,1,10002,E015,7,14,7800,1,3,1B,158 HENRY STREET,R7-2,,,,,,,,,,N,M1,8,0,X,WORLD BUDDHIST CENTRE,2608,6000,6000,0,0,0,0,0,0,6000,2,1,3,0,1,26.08,100,0,0,,0,N,5,0,304650,612900,304650,612900,2009,0,0,,,0,0,0,1,2.3,3.44,0,6.5,1,1002710055,0,6,987169,199120,12d,,101N056,10107,,0,,1,,,18v2,258.6098315,2708.991264
MN,271,57,103,6,4001,2,1,10002,E015,7,14,7800,1,3,1B,152 HENRY STREET,R7-2,,,,,,,,,,N,M1,8,0,X,CHUNG TE BUDDIST ASSN,4433,37565,37565,0,0,0,0,0,0,37565,2,1,8,0,1,44.33,100,44,100,E,2,N,5,2,399150,2954250,399150,2954250,1940,2006,0,,,0,0,0,1,8.47,3.44,0,6.5,1,1002710057,0,6,987121,199115,12d,,101N056,10107,,1002710057,02/10/2003,1,,,18v2,346.2129303,7220.57112
MN,1917,26,110,226,1002,5,9,10027,E059,32,11,1200,1,10,3B,111 WEST 132 STREET,R7-2,,,,,,,,,,N,M1,8,0,X,ST. PAUL BAPTIST CHUR,1749,2625,2625,0,0,0,0,0,0,2625,2,1,3,0,1,17.5,99.92,17,48,,3,N,5,1,21150,54000,21150,54000,1910,0,0,Central Harlem West -- 130-132nd Street Historic District,,0,1,0,0,1.5,3.44,0,6.5,1,1019170026,0,226,1000082,235358,6a,,111S007,10704,,0,,1,,,18v2,239.2063093,1837.645365
