bbl,bldgclass,lotarea,bldgarea,histdist,landmark,ownername
1012658040,V9,0.0,0.0,,,"RCPI LANDMARK PROPERTIES,"
1007900015,K4,2581.0,6675.0,,,137 WEST 14TH STREET  LLC
1012809090,O4,60700.0,916553.0,,,UNITED STATES POSTAL SERVICE
1000250019,D9,24572.0,434515.0,,INDIVIDUAL LANDMARK,25 BROAD STREET L/CAL LLC
1010721300,R4,,178000.0,,,
1019468022,V1,0.0,0.0,,,UNAVAILABLE OWNER
1019469022,V1,0.0,0.0,,,UNAVAILABLE OWNER
1010277503,RC,29400.0,614307.0,,,UNAVAILABLE OWNER
1009049024,D3,33697.0,200299.0,,,NYC EDUC CONST FUND
1014120151,C6,1916.0,3900.0,,,LORETTO REALTY CORP
1010721264,R4,,178000.0,,,
1012609071,V1,0.0,0.0,,,UNAVAILABLE OWNER
1010721218,R4,,178000.0,,,
1003480014,S2,971.0,3918.0,,,DS BROOKLYN PORTFOLIO OWNER LLC
1003850029,D1,3258.0,14090.0,,,248 EAST THIRD STREET HOUSING DEVELOPMEN T
1004380038,C7,2369.0,7755.0,,,279 E. 10TH LLC
1010560037,C6,2761.0,10520.0,,,406 WEST 47TH ST H D F C
1011420023,C5,2008.0,5016.0,Upper West Side / Central Park West Historic District,,125 WEST 70TH LLC
1012020043,C5,2013.0,6750.0,Upper West Side / Central Park West Historic District,,BROCKMAN RICHARD M
1012080038,B1,1678.0,3825.0,Upper West Side / Central Park West Historic District,,YOUNG KAREN R
1013500019,D1,3966.0,16614.0,,,"339 EST 57TH STREET,"
1014730104,C7,1565.0,6755.0,,,"FIRST AVENUE PARTNERS,"
1017300019,V1,5675.0,0.0,,,CATHOLIC CHARITIES ETAL
1005280056,K2,420.0,975.0,,,"RUSSO, ANTHONY"
1020300017,C6,7993.0,34560.0,,,219-229 W 144 ST TENANTS ASSOC HDFC
1020320004,C1,4950.0,15654.0,,,HARLEM SHANGRI -LA HOUSING DEVELOPMENT F UND
1020760027,C0,1649.0,3268.0,,,MICHAEL POTTINGER
1020830037,C1,7494.0,31217.0,,,502 WEST 152ND LLC
1021390051,I1,35400.0,230565.0,,,COLUMBIA UNVSY CTY NY TR
1007028004,U0,0.0,0.0,,,UNAVAILABLE OWNER
1010139012,H1,54060.0,300359.0,,,SUNSTONE 42ND STREET LLC
1003500057,C6,5000.0,20837.0,,,309 313 E HOUSTON ST HDFX
1008210058,K1,2300.0,3848.0,Ladies' Mile Historic District,,DEZER PROPERTIES II LLC
1019110151,B1,1549.0,3200.0,,,"STANLEY, MARVENA"
1015217501,RM,5539.0,48066.0,,,THE ROYAL CARNEGIE
1008480053,O6,3680.0,23166.0,Ladies' Mile Historic District,,30 EAST 20 LLC
1011630025,C1,2225.0,4548.0,West End-Collegiate Historic District Extension,,PEGASUS ASSOCIATES LLC
1006440048,K1,4181.0,2970.0,Gansevoort Market Historic District,,"LITTLE WEST 12TH STREET REALTY, L.P."
1008770013,D4,7999.0,65480.0,,,"50 GRAMERCY PARK INVESTORS, LLC"
1020040106,U9,0.0,0.0,,,CITY OF NEW YORK
1021180052,D6,7494.0,29437.0,,,RESIDENTIAL INDUSTRIES II LLC
1007070026,G7,7406.0,0.0,,,511 WEST 35TH STREET DEVELOPMENT LLC
1007650010,C5,2581.0,7750.0,,,CHELSEA 251 LLC
1000780042,O5,927.0,3900.0,,,88 NASSAU STREET
1000900017,D7,9317.0,182499.0,,,ANN/NASSAU REALTY LLC
1000930029,M1,2345.0,7540.0,,,WALL STREET SYNAGOGUE
1001160042,S4,1024.0,4765.0,,,27 ST. JAMES HOLDINGS LLC
1001450010,S9,3788.0,18500.0,Tribeca South Historic District,,121 CHAMBERS ST LLC
1001450018,K4,3741.0,16822.0,Tribeca South Historic District,,"PPTC TRIBE, LLC"
1001410015,S5,1434.0,6545.0,Tribeca West Historic District,,SZBS REALTY LLC
1001470002,D6,5625.0,25000.0,Tribeca South Historic District,,DUANE 131 LLC
1001797506,R4,12464.0,77625.0,Tribeca West Historic District,,UNAVAILABLE OWNER
1001890025,D0,4375.0,28500.0,Tribeca West Historic District,,34 36 NORTH TENNANTS CORP
1001930010,D4,3778.0,19600.0,Tribeca East Historic District,INDIVIDUAL LANDMARK,R COPLANA
1001947505,RM,2580.0,15632.0,Tribeca East Historic District,,UNAVAILABLE OWNER
1001947501,RM,5038.0,30953.0,Tribeca East Historic District,,ANDREWS BUILDING CORP
1001940031,K4,2275.0,6355.0,Tribeca East Historic District,,IRVING BARALL
1011260057,I5,2554.0,8599.0,Central Park West-West 73rd - 74th Street Historic District,,INSTITUTE FOR COMMUNITY LIVING INC
1014700040,C7,2554.0,9395.0,,,ROYAL CHARTER PRPRTSINC
1001970024,K4,1349.0,5740.0,,,EGLISAU CANAL REALTY LLC
1001970025,K1,1170.0,2500.0,,,WON & HAR REALTY CORP
