Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,Address,BldgClass,LandUse,OwnerType,OwnerName,LotArea,HistDist,Landmark,BBL,Vacant,SoftSite,Adjacency
MN,"2201","1","112","299","2012","06","10","10034",3815 10 AVENUE,M1,"08",X,CH OF ST JUDE,"17928",,,1022010001.00000000000,,,
MN,"1535","37","108","154","8000","02","5","10128",230 EAST 90 STREET,M3,"08",X,RC CH LADY GOOD COUNS,"1392",,,1015350037.00000000000,,,
MN,"1726","54","110","208","2002","05","9","10027",32 WEST 129 STREET,M1,"08",,BETHLEHAM PENTCOSTAL,"2148",,,1017260054.00000000000,,,
MN,"2158","32","112","269","6000","06","10","10033",563 WEST 187 STREET,M1,"08",X,IGLESIA DE DIOS PENTCSTL,"2363",,,1021580032.00000000000,,,
MN,"2036","47","110","236","2005","05","9","10039",276 WEST 151 STREET,M3,"08",X,RC CH OF RESSURECTION,"3322",,,1020360047.00000000000,,,
MN,"1224","8","107","177","2000","03","6","10025",159 WEST 93 STREET,M1,"08",X,GREATER NY CORP. OF SEVENTH-DAY ADV,"6950",,,1012240008.00000000000,,,
MN,"282","78","103","8","6002","02","1","10002",83 DIVISION STREET,M9,"08",X,EASTERN BUDDHIST ASSOCN,"1688",,,1002820078.00000000000,,,
MN,"877","1","106","68","3001","02","2","10010",277 PARK AVENUE SOUTH,M1,"08",X,CALVARY PROT EPIS CHU,"21938",Gramercy Park Historic District,,1008770001.00000000000,,,
MN,"2179","229","112","273","1002","06","10","10033",551 FT WASHINGTON AVENUE,M1,"08",X,HEWBREW TBRNCL OF ETAL,"10000",,,1021790229.00000000000,,,
MN,"1729","57","110","208","1000","05","9","10037",52 WEST 132 STREET,M3,"08",X,1ST AFR METHODIST CHU,"1666",,,1017290057.00000000000,,,
MN,"2084","33","109","237","3007","06","7","10031",1868 AMSTERDAM AVENUE,M3,"08",X,ST LUKES A M E CHURCH,"2500",,,1020840033.00000000000,,,
MN,"590","7","102","67","1001","02","3","10014",269 BLEECKER STREET,M1,"08",X,NEIGHBORHOOD CHURCH,"974",Greenwich Village Historic District Extension II,,1005900007.00000000000,,,
MN,"1182","143","107","159","3003","03","6","10023",328 WEST 71 STREET,M9,"08",X,PREP FOR PREP,"3565",West 71st Street Historic District,,1011820143.00000000000,,,
MN,"749","15","104","93","1000","02","3","10001",343 WEST 25 STREET,M3,"08",X,ROMAN CATHOLIC CHURCH OF ST. COLUMBIA,"4444",,,1007490015.00000000000,,,
MN,"1496","11","108","150.01","2001","02","4","10028",15 EAST 84 STREET,M9,"08",X,UNAVAILABLE OWNER,"6531",Metropolitan Museum Historic District,,1014960011.00000000000,,,
MN,"2115","66","112","241","4000","06","7","10032",557 WEST 156 STREET,M4,"08",X,CHUR OUR LADY ESPERAN,"2315",,,1021150066.00000000000,,,
MN,"2123","74","112","251","1007","06","10","10032",511 WEST 166 STREET,M1,"08",X,VIETNAMESE EVANGELICAL CHURCH OF NEW YOR K OF THE,"2375",,,1021230074.00000000000,,"1",soft only
MN,"208","21","102","45","1011","02","1","10013",245 CANAL STREET,M9,"08",X,CHINA BUDDHIST ASSOCIATION,"3612",,,1002080021.00000000000,,,
MN,"748","5","104","93","1001","02","3","10011",359 WEST 24 STREET,M1,"08",X,ST ELEUTHERIUS CHUR,"13325",,,1007480005.00000000000,,,
MN,"629","22","102","77","3000","02","3","10014",326 WEST 14 STREET,M3,"08",X,CHURCH OF ST BERNARD,"2581",,,1006290022.00000000000,,,
MN,"1682","49","111","180","2001","04","8","10029",2160 2 AVENUE,M1,"08",X,"CONGREGATION OF JEHOVAH'S WITNESSES, MET ROPOLITAN","2583",,,1016820049.00000000000,,,
MN,"67","30","101","15.02","1006","02","1","10038",44 JOHN STREET,M1,"08",X,JOHN STREET UNITED METHODIST CHURCH,"3423",,INDIVIDUAL LANDMARK,1000670030.00000000000,,,
MN,"902","31","106","64","2000","02","2","10010",373 2 AVENUE,M1,"08",X,CATHOLIC CHUR EPIPHAN,"27767",,,1009020031.00000000000,,,
MN,"1326","41","106","98","2000","02","4","10022",216 EAST 53 STREET,M1,"08",X,MANHATTAN SIKH CENTER,"1800",,,1013260041.00000000000,,,
MN,"445","2","103","38","4000","01","2","10003",56 2 AVENUE,M2,"08",X,EASTSIDE CHURCH OF CHRIST,"1440",East Village / Lower East Side Historic District,,1004450002.00000000000,,,
MN,"1123","49","107","157","4000","03","6","10023",34 WEST 71 STREET,M1,"08",X,VEDANTA SOCIETY,"2008",Upper West Side / Central Park West Historic District,,1011230049.00000000000,,,
MN,"2202","25","112","299","2011","06","10","10034",401 WEST 205 STREET,M1,"08",X,MANHATTAN BIBLE CHURCH INC,"9992",,,1022020025.00000000000,,"1",soft only
MN,"1563","41","108","136","1000","02","5","10028",424 EAST 84 STREET,M3,"08",X,EVAN LUTH CHURCH,"1447",,,1015630041.00000000000,,,
MN,"2074","32","109","229","2000","06","7","10031",1664 AMSTERDAM AVENUE,M9,"08",,"PENTECOSTAL CHURCH OF GOD, INTERNATIONAL  MOVEMENT","1900",,,1020740032.00000000000,,,
MN,"1061","5","104","133","3000","02","3","10019",461 WEST 51 STREET,M3,"08",X,CHURCH OF THE SACRED HEART OF JESUS,"5021",,,1010610005.00000000000,,,
MN,"2073","8","109","225","3000","06","7","10031",553 WEST 141 STREET,M1,"08",,555 HARLEM LLC,"4996",,,1020730008.00000000000,,,
MN,"279","24","103","27","1006","02","1","10038",30 JAMES STREET,M9,"08",X,ST JAMES CHURCH,"3144",,,1002790024.00000000000,,,
MN,"2180","27","112","273","2000","06","10","10033",524 FT WASHINGTON AVENUE,M1,"08",,FORT TRYON JEWISH CENTER,"8890",,,1021800027.00000000000,"1",,vacant onl
MN,"283","31","103","6","1001","02","1","10002",147 EAST BROADWAY,M1,"08",X,MESIVTHA TIFERETH,"3750",,,1002830031.00000000000,,"1",soft only
MN,"462","7","103","38","1004","01","2","10003",6 TARAS SHEVCHENKO PL,M1,"08",X,ORDER-ST BASIL THE GR,"10444",,,1004620007.00000000000,,,
MN,"908","15","106","66","2001","02","2","10016",221 EAST 27 STREET,M1,"08",X,ST ILLUMINATORS ARMENIAN,"5135",,,1009080015.00000000000,,,
MN,"2180","460","112","281","2001","06","10","10040",164 BENNETT AVENUE,M1,"08",X,UNITED LUTH SYNOD OF,"23425",,,1021800460.00000000000,,,
MN,"1789","36","111","242","3009","05","8","10035",228 EAST 125 STREET,M9,"08",X,"FEAR, TRUSTEE, RICHARD","2523",,,1017890036.00000000000,"1",,vacant onl
MN,"2168","19","112","279","3002","06","10","10040",1549 ST NICHOLAS AVENUE,M1,"08",X,GREEK RTHDX CMMNTY ETAL,"3120",,,1021680019.00000000000,,,
MN,"743","70","104","89","2000","02","3","10011",336 WEST 20 STREET,M3,"08",X,ST PETERS EPISCOPAL CHURCH,"17220",Chelsea Historic District,,1007430070.00000000000,,,
MN,"1832","29","107","181","6000","03","7","10025",361 CENTRAL PARK WEST,M1,"08",X,CHILDREN'S MUSEUM OF MANHATTAN,"15138",,INDIVIDUAL LANDMARK,1018320029.00000000000,,,
MN,"1950","29","110","257","1002","05","9","10027",302 WEST 124 STREET,M1,"08",,SOUL SAVING STA OF ETAL,"22692",,,1019500029.00000000000,"1",,vacant onl
MN,"1868","29","107","183","6001","03","7","10025",748 AMSTERDAM AVENUE,M1,"08",X,ROMAN CATHOLIC CHURCH OF HOLY NAME OF JE SUS AND,"35625",,,1018680029.00000000000,,,
