bbl,bldguse_1,bldguse_2,years,X,Y,type
1000540001,Z9,M1,2016 to 2017,980563.0,197886.0,Added
1000540001,M1,O2,2017 to 2018,980563.0,197886.0,Removed
1000870001,Z8,M1,2017 to 2018,981594.0,198484.0,Added
1000970051,M1,W3,2012 to 2013,983567.0,197149.0,Removed
1001960027,K4,M1,2019 to 2020,983862.0,200985.0,Added
1002060024,M1,D7,2019 to 2020,984638.0,200702.0,Removed
1002080021,K9,M9,2012 to 2013,984224.0,201042.0,Added
1002760037,W9,M1,2018 to 2019,985543.0,198680.0,Added
1002790005,M9,C0,2012 to 2013,984775.0,198767.0,Removed
1002850008,M9,V1,2016 to 2017,987613.0,199322.0,Removed
1002850024,M9,D7,2017 to 2018,987577.0,199409.0,Removed
1002850025,M9,D7,2017 to 2018,987553.0,199407.0,Removed
1002860022,M9,N2,2013 to 2014,988266.0,199482.0,Removed
1002860033,M9,P5,2017 to 2018,988010.0,199458.0,Removed
1002860035,M1,V1,2011 to 2012,987929.0,199448.0,Removed
1002930007,L8,M2,2012 to 2013,986086.0,199734.0,Added
1002990035,K4,M9,2017 to 2018,986436.0,199845.0,Added
1003060030,K2,M1,2012 to 2013,986238.0,200510.0,Added
1003870034,M1,D7,2014 to 2015,989764.0,202627.0,Removed
1003870127,P5,M1,2012 to 2013,989704.0,202938.0,Added
1003870128,M1,P5,2012 to 2013,989723.0,202927.0,Removed
1003940010,M9,V1,2012 to 2013,990092.0,204441.0,Removed
1003990011,I5,M9,2013 to 2014,988649.0,202933.0,Added
1004040002,S2,M9,2012 to 2013,989325.0,204562.0,Added
1004100013,M1,V1,2011 to 2012,987346.0,201594.0,Removed
1004220042,M2,V1,2013 to 2014,986932.0,202576.0,Removed
1004340050,M1,nan,2015 to 2016,988327.0,203874.0,Removed
1004390001,C7,M9,2014 to 2015,988790.0,204999.0,Added
1004390026,M1,V1,2013 to 2014,989212.0,204869.0,Removed
1004390027,M3,nan,2013 to 2014,989289.0,204913.0,Removed
1004590001,M2,Z9,2014 to 2015,986631.0,203931.0,Removed
1004620004,M1,W2,2014 to 2015,987092.0,204553.0,Removed
1004720015,M1,K4,2017 to 2018,984788.0,201825.0,Removed
1005590036,M1,K4,2015 to 2016,987659.0,206355.0,Removed
1005780064,M3,A4,2015 to 2016,982417.0,203375.0,Removed
1005780075,M1,V1,2015 to 2016,982434.0,203286.0,Removed
1006050001,M9,V1,2014 to 2015,982185.0,205964.0,Removed
1006080029,M9,H8,2012 to 2013,984683.0,207742.0,Removed
1006100075,M2,A4,2017 to 2018,983952.0,206703.0,Removed
1006230051,M3,H9,2012 to 2013,983010.0,207519.0,Removed
1006330050,C0,M9,2013 to 2014,982489.0,207268.0,Added
1007000053,M1,V1,2016 to 2017,983344.0,213240.0,Removed
1007190035,M4,A4,2012 to 2013,983510.0,210924.0,Removed
1007460058,M9,B9,2014 to 2015,984327.0,210888.0,Removed
1007640010,M4,V1,2017 to 2018,983797.0,208762.0,Removed
1007910060,M3,nan,2015 to 2016,985005.0,208524.0,Removed
1007990025,M1,nan,2017 to 2018,986032.0,210204.0,Removed
1007990051,M3,nan,2017 to 2018,986097.0,210274.0,Removed
1008180039,M1,S5,2013 to 2014,986124.0,208079.0,Removed
1008180056,M9,V1,2017 to 2018,986151.0,208175.0,Removed
1008180061,M9,P7,2013 to 2014,986052.0,208230.0,Removed
1008430008,O9,M4,2011 to 2012,986381.0,207639.0,Added
