bbl,10_bldgclass,10_lotarea,10_bldgarea,10_histdist,10_landmark,10_ownername,11_bldgclass,11_lotarea,11_bldgarea,11_histdist,11_landmark,11_ownername,12_bldgclass,12_lotarea,12_bldgarea,12_histdist,12_landmark,12_ownername,13_bldgclass,13_lotarea,13_bldgarea,13_histdist,13_landmark,13_ownername,14_bldgclass,14_lotarea,14_bldgarea,14_histdist,14_landmark,14_ownername,15_bldgclass,15_lotarea,15_bldgarea,15_histdist,15_landmark,15_ownername,16_bldgclass,16_lotarea,16_bldgarea,16_histdist,16_landmark,16_ownername,17_bldgclass,17_lotarea,17_bldgarea,17_histdist,17_landmark,17_ownername,18_bldgclass,18_lotarea,18_bldgarea,18_histdist,18_landmark,18_ownername,19_bldgclass,19_lotarea,19_bldgarea,19_histdist,19_landmark,19_ownername,20_bldgclass,20_lotarea,20_bldgarea,20_histdist,20_landmark,20_ownername,cd,address,xcoord,ycoord
1000090007,M1,6037.0,8685.0,                                        ,JAMES WATSON HOUSE                 ,SAVANNAH TEACHERS PRO,M1,6037.0,8685.0,                                        ,JAMES WATSON HOUSE                 ,THE MISSION OF OUR LA,M1,6037.0,8685.0,                                        ,JAMES WATSON HOUSE                 ,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037.0,8685.0,                                        ,JAMES WATSON HOUSE                 ,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037.0,8685.0,,INDIVIDUAL LANDMARK,THE MISSION OF OUR LA,M1,6037.0,8685.0,,INDIVIDUAL LANDMARK,THE MISSION OF OUR LADY OF ROSARY OF THE  CITY OF,M1,6037.0,8685.0,,INDIVIDUAL LANDMARK,THE MISSION OF OUR LADY OF ROSARY OF THE  CITY OF,101.0,7 STATE STREET,980457.0,195256.0
1000410022,M1,6003.0,24000.0,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003.0,24000.0,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003.0,24000.0,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003.0,24000.0,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003.0,24000.0,,,CH OUR LADY VICTORY,M1,6003.0,24000.0,,,CH OUR LADY VICTORY,M1,6003.0,24000.0,,,CH OUR LADY VICTORY,101.0,56 WILLIAM STREET,981832.0,196858.0
1000490001,M1,98432.0,15928.0,                                        ,TRINITY CHURCH AND GRAVEYARD       ,PARISH OF TRINITY CHR,M1,98432.0,15928.0,                                        ,TRINITY CHURCH AND GRAVEYARD       ,PARISH OF TRINITY CHR,M1,98432.0,15928.0,                                        ,TRINITY CHURCH AND GRAVEYARD       ,PARISH OF TRINITY CHR,M1,98432,15928,,TRINITY CHURCH AND GRAVEYARD,PARISH OF TRINITY CHR,M1,98432,15928,,TRINITY CHURCH AND GRAVEYARD,PARISH OF TRINITY CHR,M1,98432.0,15928.0,                                        ,TRINITY CHURCH AND GRAVEYARD       ,PARISH OF TRINITY CHR,M1,98432,15928,,TRINITY CHURCH AND GRAVEYARD,PARISH OF TRINITY CHR,M1,98432,15928,,TRINITY CHURCH AND GRAVEYARD,PARISH OF TRINITY CHR,M1,98432.0,15928.0,,INDIVIDUAL LANDMARK,PARISH OF TRINITY CHR,M1,98432.0,15928.0,,INDIVIDUAL LANDMARK,PARISH OF TRINITY CHRH,M1,98432.0,15928.0,,INDIVIDUAL LANDMARK,PARISH OF TRINITY CHRH,101.0,75 BROADWAY,980907.0,197274.0
1000540001,O4,66222.0,1415086.0,                                        ,                                   ,LOWER MANHATTAN DEVE ,O4,66222.0,72600.0,                                        ,                                   ,LOWER MANHATTAN DEVE ,V1,66222.0,0.0,                                        ,                                   ,LOWER MANHATTAN DEVE ,V1,66222,0,,,LOWER MANHATTAN DEVE,V1,66222,0,,,LOWER MANHATTAN DEVE,V1,66222.0,0.0,                                        ,                                   ,LOWER MANHATTAN DEVE ,Z9,66222,0,,,LOWER MANHATTAN DEVE,M1,66222,4100,,,LOWER MANHATTAN DEVE,O2,33149.0,6400.0,,,LOWER MANHATTAN DEVE,O2,33149.0,6400.0,,,LOWER MANHATTAN DEVE,O2,33148.0,6400.0,,,LOWER MANHATTAN DEVE,101.0,130 GREENWICH STREET,980538.0,197809.0
1000670030,M1,3423.0,3144.0,                                        ,JOHN STREET METHODIST CHURCH       ,BBV US REAL ESTATE FU,M1,3423.0,3144.0,                                        ,JOHN STREET METHODIST CHURCH       ,BBV US REAL ESTATE FU,M1,3423.0,3144.0,                                        ,JOHN STREET METHODIST CHURCH       ,MAIDEN FED LLC       ,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423.0,3144.0,                                        ,JOHN STREET METHODIST CHURCH       ,JOHN STREET UNITED ME,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423.0,3144.0,,INDIVIDUAL LANDMARK,JOHN STREET UNITED ME,M1,3423.0,3144.0,,INDIVIDUAL LANDMARK,JOHN STREET UNITED METHODIST CHURCH,M1,3423.0,3144.0,,INDIVIDUAL LANDMARK,JOHN STREET UNITED METHODIST CHURCH,101.0,44 JOHN STREET,981991.0,197619.0
1000870001,Z8,64560.0,8875.0,                                        ,ST. PAUL'S CHAPEL & GRAVEYARD      ,ST PAULS CHURCH      ,Z8,64560.0,8875.0,                                        ,ST. PAUL'S CHAPEL & GRAVEYARD      ,ST PAULS CHURCH      ,Z8,64560.0,8875.0,                                        ,ST. PAUL'S CHAPEL & GRAVEYARD      ,ST PAULS CHURCH      ,Z8,64560,8875,,ST. PAUL'S CHAPEL & GRAVEYARD,ST PAULS CHURCH,Z8,64560,8875,,ST. PAUL'S CHAPEL & GRAVEYARD,ST PAULS CHURCH,Z8,64560.0,8875.0,                                        ,ST. PAUL'S CHAPEL AND GRAVEYARD    ,ST PAULS CHURCH      ,Z8,64560,8875,,ST. PAUL'S CHAPEL AND GRAVEYARD,ST PAULS CHURCH,Z8,64560,8875,,ST. PAUL'S CHAPEL AND GRAVEYARD,ST PAULS CHURCH,M1,64560.0,8875.0,,INDIVIDUAL LANDMARK,ST PAULS CHURCH,M1,64560.0,8875.0,,INDIVIDUAL LANDMARK,ST PAULS CHURCH,M1,64560.0,8875.0,,INDIVIDUAL LANDMARK,ST PAULS CHURCH,101.0,209 BROADWAY,981594.0,198484.0
1000880004,M3,2537.0,11385.0,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537.0,11385.0,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537.0,11385.0,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537.0,11385.0,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537.0,11385.0,,,THE ROMAN CATHOLIC CH,M3,2537.0,11385.0,,,THE ROMAN CATHOLIC CHURCH OF ST. PETER,M3,2537.0,11385.0,,,THE ROMAN CATHOLIC CHURCH OF ST. PETER,101.0,18 VESEY STREET,981651.0,198673.0
1000880011,M1,12831.0,8898.0,                                        ,ST. PETER'S R.C. CHURCH            ,ST PETERS R C CHURCH ,M1,12831.0,8898.0,                                        ,ST. PETER'S R.C. CHURCH            ,ST PETERS R C CHURCH ,M1,12831.0,8898.0,                                        ,ST. PETER'S R.C. CHURCH            ,ST PETERS R C CHURCH ,M1,12831,8898,,ST. PETER'S R.C. CHURCH,ST PETERS R C CHURCH,M1,12831,8898,,ST. PETER'S R.C. CHURCH,ST PETERS R C CHURCH,M1,12831.0,8898.0,                                        ,ST. PETER'S CHURCH                 ,ST PETERS R C CHURCH ,M1,12831,8898,,ST. PETER'S CHURCH,ST PETERS R C CHURCH,M1,12831,8898,,ST. PETER'S CHURCH,ST PETERS R C CHURCH,M1,12831.0,8898.0,,INDIVIDUAL LANDMARK,ST PETERS R C CHURCH,M1,12831.0,8898.0,,INDIVIDUAL LANDMARK,ST PETERS R C CHURCH,M1,12831.0,8898.0,,INDIVIDUAL LANDMARK,ST PETERS R C CHURCH,101.0,22 BARCLAY STREET,981601.0,198810.0
1000930029,M1,2345.0,7540.0,                                        ,                                   ,WALL STREET SYNAGOGUE,M1,2345.0,7540.0,                                        ,                                   ,WALL STREET SYNAGOGUE,M1,2345.0,7540.0,                                        ,                                   ,WALL STREET SYNAGOGUE,M1,2345,7540,,,WALL STREET SYNAGOGUE,M1,2345,7540,,,WALL STREET SYNAGOGUE,M1,2345.0,7540.0,                                        ,                                   ,WALL STREET SYNAGOGUE,M1,2345,7540,,,WALL STREET SYNAGOGUE,M1,2345,7540,,,WALL STREET SYNAGOGUE,M1,2345.0,7540.0,,,WALL STREET SYNAGOGUE,M1,2345.0,7540.0,,,WALL STREET SYNAGOGUE,M1,2345.0,7540.0,,,WALL STREET SYNAGOGUE,101.0,47 BEEKMAN STREET,982727.0,197938.0
1001060020,M9,6377.0,10090.0,South Street Seaport Extension          ,                                   ,CHINATOWN CHINESE CON,M9,6377.0,10090.0,South Street Seaport Extension          ,                                   ,CHINATOWN CHINESE CON,M9,6377.0,10090.0,South Street Seaport Extension          ,                                   ,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Extension,,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Extension,,CHINATOWN CHINESE CON,M9,6377.0,10090.0,South Street Seaport  Extension         ,                                   ,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Historic District E,,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Historic District E,,CHINATOWN CHINESE CON,M9,6377.0,10090.0,South Street Seaport Historic District Extension,,CHINATOWN CHINESE CON,M9,6377.0,10090.0,South Street Seaport Historic District Extension,,CHINATOWN CHINESE CONGREGATION/JEHOVAH'S  ETC.,M9,6377.0,10090.0,South Street Seaport Historic District Extension,,CHINATOWN CHINESE CONGREGATION/JEHOVAH'S  ETC.,101.0,334 PEARL STREET,983807.0,197625.0
