bbl,10_bldgclass,10_lotarea,10_bldgarea,10_histdist,10_landmark,10_ownername,11_bldgclass,11_lotarea,11_bldgarea,11_histdist,11_landmark,11_ownername,12_bldgclass,12_lotarea,12_bldgarea,12_histdist,12_landmark,12_ownername,13_bldgclass,13_lotarea,13_bldgarea,13_histdist,13_landmark,13_ownername,14_bldgclass,14_lotarea,14_bldgarea,14_histdist,14_landmark,14_ownername,15_bldgclass,15_lotarea,15_bldgarea,15_histdist,15_landmark,15_ownername,16_bldgclass,16_lotarea,16_bldgarea,16_histdist,16_landmark,16_ownername,17_bldgclass,17_lotarea,17_bldgarea,17_histdist,17_landmark,17_ownername,18_bldgclass,18_lotarea,18_bldgarea,18_histdist,18_landmark,18_ownername,19_bldgclass,19_lotarea,19_bldgarea,19_histdist,19_landmark,19_ownername,20_bldgclass,20_lotarea,20_bldgarea,20_histdist,20_landmark,20_ownername,cd_x,address_x,xcoord_x,ycoord_x,dob_permits,dob_A1,dob_A2,dob_A3,dob_NB,dob_DM,dob_ALL,council,builtfar,residfar,commfar,facilfar,unbuiltfar,vacant,softsite,adjacency
1000090007,M1,6037,8685,                                        ,JAMES WATSON HOUSE                 ,SAVANNAH TEACHERS PRO,M1,6037,8685,                                        ,JAMES WATSON HOUSE                 ,THE MISSION OF OUR LA,M1,6037,8685,                                        ,JAMES WATSON HOUSE                 ,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037,8685,                                        ,JAMES WATSON HOUSE                 ,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037,8685,,JAMES WATSON HOUSE,THE MISSION OF OUR LA,M1,6037,8685,,INDIVIDUAL LANDMARK,THE MISSION OF OUR LA,M1,6037,8685,,INDIVIDUAL LANDMARK,THE MISSION OF OUR LADY OF ROSARY OF THE  CITY OF,M1,6037,8685,,INDIVIDUAL LANDMARK,THE MISSION OF OUR LADY OF ROSARY OF THE  CITY OF,101.0,7 STATE STREET,980457.0,195256.0,"[{'job_type': 'A3', 'work_type': 'EQ', 'date': '2009-10-30T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1991-02-08T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2009-11-10T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2009-10-30T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'OT', 'date': '2012-02-24T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2009-11-10T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2009-11-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2009-10-30T00:00:00.000', 'filing_status': 'INITIAL'}]",0,3,5,0,0,8,1.0,1.44,10.0,15.0,15.0,13.56,,,
1000410022,M1,6003,24000,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003,24000,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003,24000,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,                                        ,                                   ,CH OUR LADY VICTORY  ,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,,,CH OUR LADY VICTORY,M1,6003,24000,,,CH OUR LADY VICTORY,101.0,56 WILLIAM STREET,981832.0,196858.0,"[{'job_type': 'A2', 'work_type': 'OT', 'date': '2015-12-17T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2003-12-15T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2008-06-09T00:00:00.000', 'filing_status': 'INITIAL'}]",0,2,1,0,0,3,1.0,4.0,10.0,15.0,15.0,11.0,,,
1000670030,M1,3423,3144,                                        ,JOHN STREET METHODIST CHURCH       ,BBV US REAL ESTATE FU,M1,3423,3144,                                        ,JOHN STREET METHODIST CHURCH       ,BBV US REAL ESTATE FU,M1,3423,3144,                                        ,JOHN STREET METHODIST CHURCH       ,MAIDEN FED LLC       ,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423,3144,                                        ,JOHN STREET METHODIST CHURCH       ,JOHN STREET UNITED ME,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423,3144,,JOHN STREET METHODIST CHURCH,JOHN STREET UNITED ME,M1,3423,3144,,INDIVIDUAL LANDMARK,JOHN STREET UNITED ME,M1,3423,3144,,INDIVIDUAL LANDMARK,JOHN STREET UNITED METHODIST CHURCH,M1,3423,3144,,INDIVIDUAL LANDMARK,JOHN STREET UNITED METHODIST CHURCH,101.0,44 JOHN STREET,981991.0,197619.0,[],0,0,0,0,0,0,1.0,0.92,10.0,15.0,15.0,14.08,,,
1000880004,M3,2537,11385,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537,11385,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537,11385,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537,11385,                                        ,                                   ,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CH,M3,2537,11385,,,THE ROMAN CATHOLIC CHURCH OF ST. PETER,M3,2537,11385,,,THE ROMAN CATHOLIC CHURCH OF ST. PETER,101.0,18 VESEY STREET,981651.0,198673.0,"[{'job_type': 'A3', 'work_type': 'EQ', 'date': '2007-09-11T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': 'PL', 'date': '2004-04-02T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2003-10-01T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'CC', 'date': '2003-09-29T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2016-02-29T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2016-02-22T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2003-09-29T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2003-09-29T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2007-09-11T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2004-04-29T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'SP', 'date': '2005-04-01T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2003-09-29T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2003-09-29T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '1993-12-16T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2004-04-29T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '1993-12-16T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2003-10-01T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2003-10-01T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '1993-12-16T00:00:00.000', 'filing_status': 'INITIAL'}]",8,4,7,0,0,19,1.0,4.49,10.0,15.0,15.0,10.51,,,
1000880011,M1,12831,8898,                                        ,ST. PETER'S R.C. CHURCH            ,ST PETERS R C CHURCH ,M1,12831,8898,                                        ,ST. PETER'S R.C. CHURCH            ,ST PETERS R C CHURCH ,M1,12831,8898,                                        ,ST. PETER'S R.C. CHURCH            ,ST PETERS R C CHURCH ,M1,12831,8898,,ST. PETER'S R.C. CHURCH,ST PETERS R C CHURCH,M1,12831,8898,,ST. PETER'S R.C. CHURCH,ST PETERS R C CHURCH,M1,12831,8898,                                        ,ST. PETER'S CHURCH                 ,ST PETERS R C CHURCH ,M1,12831,8898,,ST. PETER'S CHURCH,ST PETERS R C CHURCH,M1,12831,8898,,ST. PETER'S CHURCH,ST PETERS R C CHURCH,M1,12831,8898,,INDIVIDUAL LANDMARK,ST PETERS R C CHURCH,M1,12831,8898,,INDIVIDUAL LANDMARK,ST PETERS R C CHURCH,M1,12831,8898,,INDIVIDUAL LANDMARK,ST PETERS R C CHURCH,101.0,22 BARCLAY STREET,981601.0,198810.0,"[{'job_type': 'A2', 'work_type': 'OT', 'date': '2006-02-28T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1991-10-09T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2005-05-03T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2015-12-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2005-05-03T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2005-06-30T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2015-12-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2005-05-03T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'SP', 'date': '2015-12-17T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1995-06-23T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2010-04-15T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'FS', 'date': '2019-04-30T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2016-08-31T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2005-05-03T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1995-06-23T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2005-05-03T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2004-12-08T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-05-11T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'SP', 'date': '2016-10-24T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2006-02-28T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2005-05-03T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2004-12-08T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-05-11T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-05-11T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2004-12-08T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'PL', 'date': '2016-05-18T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2016-05-06T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-01-27T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2009-08-19T00:00:00.000', 'filing_status': 'INITIAL'}]",4,28,5,0,0,37,1.0,0.69,10.0,15.0,15.0,14.31,,,
1001060020,M9,6377,10090,South Street Seaport Extension          ,                                   ,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Extension          ,                                   ,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Extension          ,                                   ,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Extension,,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Extension,,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport  Extension         ,                                   ,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Historic District E,,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Historic District E,,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Historic District Extension,,CHINATOWN CHINESE CON,M9,6377,10090,South Street Seaport Historic District Extension,,CHINATOWN CHINESE CONGREGATION/JEHOVAH'S  ETC.,M9,6377,10090,South Street Seaport Historic District Extension,,CHINATOWN CHINESE CONGREGATION/JEHOVAH'S  ETC.,101.0,334 PEARL STREET,983807.0,197625.0,"[{'job_type': 'NB', 'work_type': None, 'date': '1996-02-22T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': 'PL', 'date': '1996-02-22T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2009-10-27T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '1996-02-22T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'PL', 'date': '1996-02-22T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2009-10-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': None, 'date': '1996-02-22T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '1996-02-22T00:00:00.000', 'filing_status': 'INITIAL'}]",0,2,0,6,0,8,1.0,1.58,6.02,6.0,6.5,4.92,,,
1001620024,M1,1218,3800,                                        ,                                   ,LEE LOWE MEN ASSN INC,M1,1218,3800,                                        ,                                   ,LEE LOWE MEN ASSN INC,M1,1218,3800,                                        ,                                   ,LEE LOWE MEN ASSN INC,M1,1218,3800,,,LEE LOWE MEN ASSN INC,M1,1218,3800,,,LEE LOWE MEN ASSN INC,M1,1218,3800,                                        ,                                   ,LEE LOWE MEN ASSN INC,M1,1218,3800,,,LEE LOWE MEN ASSN INC,M1,1218,3800,,,LEE LOWE MEN ASSN INC,M1,1218,3800,,,LEE LOWE MEN ASSN INC,M1,1218,3800,,,LEE LOWE MEN ASSN INC,M1,1218,3800,,,LEE LOWE MEN ASSN INC,103.0,21 PELL STREET,984740.0,199674.0,"[{'job_type': 'A2', 'work_type': 'OT', 'date': '2016-04-14T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2016-04-14T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2016-04-14T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2016-04-14T00:00:00.000', 'filing_status': 'RENEWAL'}]",0,4,0,0,0,4,1.0,3.12,3.44,6.0,6.5,3.38,,,
1001640044,M1,1026,4299,                                        ,                                   ,RC CH TRANSFIGURATION,M1,1026,4299,                                        ,                                   ,RC CH TRANSFIGURATION,M1,1026,4299,                                        ,                                   ,RC CH TRANSFIGURATION,M1,1026,4299,,,RC CH TRANSFIGURATION,M1,1026,4299,,,RC CH TRANSFIGURATION,M1,1026,4299,                                        ,                                   ,RC CH TRANSFIGURATION,M1,1026,4299,,,RC CH TRANSFIGURATION,M1,1026,4299,,,RC CH TRANSFIGURATION,M1,1026,4299,,,RC CH TRANSFIGURATION,M1,1026,4299,,,RC CH TRANSFIGURATION,M1,1026,4299,,,RC CH TRANSFIGURATION,103.0,105 MOSCO STREET,984468.0,199538.0,"[{'job_type': 'A3', 'work_type': 'EQ', 'date': '1996-09-30T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1996-10-04T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '1996-09-27T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1996-09-30T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1996-10-04T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1996-10-04T00:00:00.000', 'filing_status': 'RENEWAL'}]",0,1,5,0,0,6,1.0,4.19,3.44,6.0,6.5,2.31,,,
1001750022,M1,4996,12563,Tribeca East                            ,                                   ,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East                            ,                                   ,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East                            ,                                   ,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East,,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East,,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East                            ,                                   ,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East Historic District,,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East Historic District,,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East Historic District,,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East Historic District,,CIVIC CENTRE SYNAGOGU,M1,4996,12563,Tribeca East Historic District,,CIVIC CENTRE SYNAGOGU,101.0,47 WHITE STREET,983077.0,200985.0,"[{'job_type': 'A3', 'work_type': 'EQ', 'date': '2009-10-21T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2017-07-27T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2017-10-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2017-07-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2007-08-23T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2017-09-12T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2014-10-02T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2009-10-21T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2009-05-04T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2017-07-27T00:00:00.000', 'filing_status': 'RENEWAL'}]",0,7,3,0,0,10,1.0,2.51,6.02,6.0,6.5,3.99,,,
1001910016,M1,1875,2738,                                        ,                                   ,NUR ASHKI JERRAHI COM,M1,1875,2738,                                        ,                                   ,NUR ASHKI JERRAHI COM,M1,1875,2738,                                        ,                                   ,NUR ASHKI JERRAHI COM,M1,1875,2738,,,NUR ASHKI JERRAHI COM,M1,1875,2738,,,NUR ASHKI JERRAHI COM,M1,1875,2738,                                        ,                                   ,NUR ASHKI JERRAHI COM,M1,1875,2738,,,NUR ASHKI JERRAHI COM,M1,1875,2738,,,NUR ASHKI JERRAHI COM,M1,1875,2738,,,NUR ASHKI JERRAHI COM,M1,1875,2738,,,NUR ASHKI JERRAHI COMMUNITY,M1,1875,2738,,,NUR ASHKI JERRAHI COMMUNITY,101.0,245 WEST BROADWAY,982704.0,201469.0,"[{'job_type': 'A2', 'work_type': 'OT', 'date': '2019-03-25T00:00:00.000', 'filing_status': 'INITIAL'}]",0,1,0,0,0,1,1.0,1.46,6.02,6.0,6.5,5.04,,,
